rownames(sigRes)
ENSMUSG00000004394
ENSMUSG00000091957
ENSMUSG00000029752
ENSMUSG00000094497
ENSMUSG00000095180
ENSMUSG00000026535
ENSMUSG00000097554
ENSMUSG00000058126
ENSMUSG00000054537
ENSMUSG00000034161
ENSMUSG00000031595
ENSMUSG00000022297
ENSMUSG00000035852
ENSMUSG00000022865
ENSMUSG00000025330
ENSMUSG00000015619
ENSMUSG00000040653
ENSMUSG00000039329
ENSMUSG00000094724
ENSMUSG00000107383
ENSMUSG00000023043
ENSMUSG00000023039
ENSMUSG00000033147
ENSMUSG00000047139
ENSMUSG00000032009
ENSMUSG00000095698
ENSMUSG00000045752
ENSMUSG00000100801
ENSMUSG00000023960
ENSMUSG00000024426
ENSMUSG00000040264
ENSMUSG00000024921
ENSMUSG00000027859
ENSMUSG00000007946
ENSMUSG00000053536
ENSMUSG00000038508
ENSMUSG00000019851
ENSMUSG00000058741
ENSMUSG00000022367
ENSMUSG00000030654
ENSMUSG00000091705
ENSMUSG00000080242
ENSMUSG00000083833
ENSMUSG00000029307
ENSMUSG00000081111
ENSMUSG00000018809
ENSMUSG00000073403
ENSMUSG00000047501
ENSMUSG00000074676
ENSMUSG00000079584
ENSMUSG00000038793
ENSMUSG00000032656
ENSMUSG00000003617
ENSMUSG00000020424
ENSMUSG00000079507
ENSMUSG00000020376
ENSMUSG00000029859
ENSMUSG00000021794
ENSMUSG00000038253
ENSMUSG00000028019
ENSMUSG00000057000
ENSMUSG00000021508
ENSMUSG00000033542
ENSMUSG00000031974
ENSMUSG00000038065
ENSMUSG00000074269
ENSMUSG00000007039
ENSMUSG00000029816
ENSMUSG00000028463
ENSMUSG00000025268
ENSMUSG00000023367
ENSMUSG00000045027
ENSMUSG00000033295
ENSMUSG00000058147
ENSMUSG00000036322
ENSMUSG00000026822
ENSMUSG00000081603
ENSMUSG00000048482
ENSMUSG00000054702
ENSMUSG00000109244
ENSMUSG00000037999
ENSMUSG00000050368
ENSMUSG00000026638
ENSMUSG00000000296
ENSMUSG00000024803
ENSMUSG00000042988
ENSMUSG00000048758
ENSMUSG00000032827
ENSMUSG00000036186
ENSMUSG00000019312
ENSMUSG00000027356
ENSMUSG00000031952
ENSMUSG00000046180
ENSMUSG00000019256
ENSMUSG00000033350
ENSMUSG00000029149
ENSMUSG00000083061
ENSMUSG00000045790
ENSMUSG00000079492
ENSMUSG00000021792
ENSMUSG00000021338
ENSMUSG00000054364
ENSMUSG00000001504
ENSMUSG00000006575
ENSMUSG00000028152
ENSMUSG00000029999
ENSMUSG00000063011
ENSMUSG00000059040
ENSMUSG00000004864
ENSMUSG00000038141
ENSMUSG00000030246
ENSMUSG00000044254
ENSMUSG00000041774
ENSMUSG00000033720
ENSMUSG00000017897
ENSMUSG00000015087
ENSMUSG00000019737
ENSMUSG00000017607
ENSMUSG00000020000
ENSMUSG00000020641
ENSMUSG00000021180
ENSMUSG00000048498
ENSMUSG00000079629
ENSMUSG00000098832
ENSMUSG00000022724
ENSMUSG00000040998
ENSMUSG00000026414
ENSMUSG00000103206
ENSMUSG00000073402
ENSMUSG00000019734
ENSMUSG00000031274
ENSMUSG00000042099
ENSMUSG00000027315
ENSMUSG00000029810
ENSMUSG00000001247
ENSMUSG00000049555
ENSMUSG00000038843
ENSMUSG00000035498
ENSMUSG00000014704
ENSMUSG00000044533
ENSMUSG00000039943
ENSMUSG00000030222
ENSMUSG00000031387
ENSMUSG00000003992
ENSMUSG00000032715
ENSMUSG00000091594
ENSMUSG00000083773
ENSMUSG00000071773
ENSMUSG00000023243
ENSMUSG00000020601
ENSMUSG00000046447
ENSMUSG00000030188
ENSMUSG00000030218
ENSMUSG00000001785
ENSMUSG00000040354
ENSMUSG00000030598
ENSMUSG00000042793
ENSMUSG00000035274
ENSMUSG00000029377
ENSMUSG00000049232
ENSMUSG00000025932
ENSMUSG00000085666
ENSMUSG00000030161
ENSMUSG00000031023
ENSMUSG00000062380
ENSMUSG00000023015
ENSMUSG00000000303
ENSMUSG00000040195
ENSMUSG00000031758
ENSMUSG00000079560
ENSMUSG00000064325
ENSMUSG00000019768
ENSMUSG00000020712
ENSMUSG00000043924
ENSMUSG00000073491
ENSMUSG00000000861
ENSMUSG00000062353
ENSMUSG00000022636
ENSMUSG00000083161
ENSMUSG00000079627
ENSMUSG00000045319
ENSMUSG00000018362
ENSMUSG00000064193
ENSMUSG00000027597
ENSMUSG00000022286
ENSMUSG00000031373
ENSMUSG00000038879
ENSMUSG00000031548
ENSMUSG00000024379
ENSMUSG00000060969
ENSMUSG00000050379
ENSMUSG00000046807
ENSMUSG00000036368
ENSMUSG00000015222
ENSMUSG00000001672
ENSMUSG00000028807
ENSMUSG00000029334
ENSMUSG00000006179
ENSMUSG00000067608
ENSMUSG00000038781
ENSMUSG00000044365
ENSMUSG00000005251
ENSMUSG00000020638
ENSMUSG00000079179
ENSMUSG00000042367
ENSMUSG00000030268
ENSMUSG00000082045
ENSMUSG00000029209
ENSMUSG00000074227
ENSMUSG00000070305
ENSMUSG00000049036
ENSMUSG00000076431
ENSMUSG00000040364
ENSMUSG00000025665
ENSMUSG00000022876
ENSMUSG00000025481
ENSMUSG00000023046
ENSMUSG00000020334
ENSMUSG00000038884
ENSMUSG00000030351
ENSMUSG00000033502
ENSMUSG00000041886
ENSMUSG00000055413
ENSMUSG00000070287
ENSMUSG00000025076
ENSMUSG00000042812
ENSMUSG00000035834
ENSMUSG00000061859
ENSMUSG00000036667
ENSMUSG00000046318
ENSMUSG00000039081
ENSMUSG00000050424
ENSMUSG00000040596
ENSMUSG00000028572
ENSMUSG00000056665
ENSMUSG00000047143
ENSMUSG00000023249
ENSMUSG00000028545
ENSMUSG00000038236
ENSMUSG00000033610
ENSMUSG00000063875
ENSMUSG00000032062
ENSMUSG00000063696
ENSMUSG00000105987
ENSMUSG00000078452
ENSMUSG00000023911
ENSMUSG00000040284
ENSMUSG00000042810
ENSMUSG00000022099
ENSMUSG00000027536
ENSMUSG00000039328
ENSMUSG00000059878
ENSMUSG00000072568
ENSMUSG00000035929
ENSMUSG00000028040
