rownames(sigRes)
ENSMUSG00000091957
ENSMUSG00000097554
ENSMUSG00000026535
ENSMUSG00000029307
ENSMUSG00000059040
ENSMUSG00000083773
ENSMUSG00000047139
ENSMUSG00000038253
ENSMUSG00000023232
ENSMUSG00000073403
ENSMUSG00000073491
ENSMUSG00000058126
ENSMUSG00000004394
ENSMUSG00000029913
ENSMUSG00000020000
ENSMUSG00000025330
ENSMUSG00000078452
ENSMUSG00000003617
ENSMUSG00000074269
ENSMUSG00000079492
ENSMUSG00000058064
ENSMUSG00000023046
ENSMUSG00000031595
ENSMUSG00000035929
ENSMUSG00000033350
ENSMUSG00000079834
ENSMUSG00000094724
ENSMUSG00000022297
ENSMUSG00000053219
ENSMUSG00000032009
ENSMUSG00000024736
ENSMUSG00000004626
ENSMUSG00000080242
ENSMUSG00000079852
ENSMUSG00000064193
ENSMUSG00000044533
ENSMUSG00000038400
ENSMUSG00000028463
ENSMUSG00000045763
ENSMUSG00000023043
ENSMUSG00000023960
ENSMUSG00000002108
ENSMUSG00000028040
ENSMUSG00000040998
ENSMUSG00000083061
ENSMUSG00000053746
ENSMUSG00000060594
ENSMUSG00000022865
ENSMUSG00000107383
ENSMUSG00000021508
ENSMUSG00000028218
ENSMUSG00000029810
ENSMUSG00000047501
ENSMUSG00000029999
ENSMUSG00000083161
ENSMUSG00000001552
ENSMUSG00000046180
ENSMUSG00000001247
ENSMUSG00000074227
ENSMUSG00000020464
ENSMUSG00000009670
ENSMUSG00000082045
ENSMUSG00000060938
ENSMUSG00000027315
ENSMUSG00000021687
ENSMUSG00000028150
ENSMUSG00000006731
ENSMUSG00000062353
ENSMUSG00000017607
ENSMUSG00000054863
ENSMUSG00000039646
ENSMUSG00000021792
ENSMUSG00000015619
ENSMUSG00000018417
ENSMUSG00000037211
ENSMUSG00000019312
ENSMUSG00000036667
ENSMUSG00000036206
ENSMUSG00000035498
ENSMUSG00000021403
ENSMUSG00000026655
ENSMUSG00000054932
ENSMUSG00000024538
ENSMUSG00000023039
ENSMUSG00000020681
ENSMUSG00000079627
ENSMUSG00000067608
ENSMUSG00000056665
ENSMUSG00000027859
ENSMUSG00000020354
ENSMUSG00000018340
ENSMUSG00000079507
ENSMUSG00000041605
ENSMUSG00000022636
ENSMUSG00000000544
ENSMUSG00000001504
ENSMUSG00000097039
ENSMUSG00000071773
ENSMUSG00000031927
ENSMUSG00000029149
ENSMUSG00000019734
ENSMUSG00000037419
ENSMUSG00000054537
ENSMUSG00000033721
ENSMUSG00000051727
ENSMUSG00000003352
ENSMUSG00000095698
ENSMUSG00000025921
ENSMUSG00000060969
ENSMUSG00000048534
ENSMUSG00000032548
ENSMUSG00000081603
ENSMUSG00000041075
ENSMUSG00000043773
ENSMUSG00000035852
ENSMUSG00000076431
ENSMUSG00000020988
ENSMUSG00000038068
ENSMUSG00000040264
ENSMUSG00000061981
ENSMUSG00000022324
ENSMUSG00000041782
ENSMUSG00000055413
ENSMUSG00000094497
ENSMUSG00000048482
ENSMUSG00000028982
ENSMUSG00000044037
ENSMUSG00000019139
ENSMUSG00000064325
ENSMUSG00000017734
ENSMUSG00000018809
ENSMUSG00000044629
ENSMUSG00000033542
ENSMUSG00000011179
ENSMUSG00000106968
ENSMUSG00000031778
ENSMUSG00000032656
ENSMUSG00000100801
ENSMUSG00000000031
ENSMUSG00000020865
ENSMUSG00000034684
ENSMUSG00000030499
ENSMUSG00000024940
ENSMUSG00000084349
ENSMUSG00000091705
ENSMUSG00000034330
ENSMUSG00000065999
ENSMUSG00000037913
ENSMUSG00000039377
ENSMUSG00000022938
ENSMUSG00000057000
ENSMUSG00000023830
ENSMUSG00000041556
ENSMUSG00000031974
ENSMUSG00000004151
ENSMUSG00000031805
ENSMUSG00000073002
ENSMUSG00000027220
ENSMUSG00000042613
ENSMUSG00000074676
ENSMUSG00000046318
ENSMUSG00000053646
ENSMUSG00000067203
ENSMUSG00000040596
ENSMUSG00000071379
ENSMUSG00000039081
ENSMUSG00000023367
ENSMUSG00000070287
ENSMUSG00000073402
ENSMUSG00000046585
ENSMUSG00000047143
ENSMUSG00000015222
ENSMUSG00000029859
ENSMUSG00000023961
ENSMUSG00000022018
ENSMUSG00000044250
ENSMUSG00000026822
ENSMUSG00000046994
ENSMUSG00000026638
ENSMUSG00000023972
ENSMUSG00000022892
ENSMUSG00000022367
ENSMUSG00000045140
ENSMUSG00000074480
ENSMUSG00000019806
ENSMUSG00000020601
ENSMUSG00000017721
ENSMUSG00000073000
ENSMUSG00000001507
ENSMUSG00000025732
ENSMUSG00000020334
ENSMUSG00000063696
ENSMUSG00000003378
ENSMUSG00000041354
ENSMUSG00000038067
ENSMUSG00000063605
ENSMUSG00000017210
ENSMUSG00000019889
ENSMUSG00000022805
ENSMUSG00000002980
ENSMUSG00000036327
ENSMUSG00000027356
ENSMUSG00000039329
ENSMUSG00000063296
ENSMUSG00000024737
ENSMUSG00000001021
ENSMUSG00000071369
ENSMUSG00000020758
ENSMUSG00000027082
ENSMUSG00000040653
ENSMUSG00000036322
ENSMUSG00000032440
ENSMUSG00000105987
ENSMUSG00000034522
ENSMUSG00000038564
ENSMUSG00000028184
ENSMUSG00000017897
ENSMUSG00000022817
ENSMUSG00000027236
ENSMUSG00000079009
ENSMUSG00000002900
ENSMUSG00000079629
ENSMUSG00000038155
ENSMUSG00000000693
ENSMUSG00000030206
ENSMUSG00000107350
ENSMUSG00000047264
ENSMUSG00000078249
ENSMUSG00000095180
ENSMUSG00000026820
ENSMUSG00000008153
ENSMUSG00000033295
ENSMUSG00000031995
ENSMUSG00000050288
ENSMUSG00000050295
ENSMUSG00000051256
ENSMUSG00000066152
ENSMUSG00000037972
ENSMUSG00000043263
ENSMUSG00000028019
ENSMUSG00000079339
ENSMUSG00000068417
ENSMUSG00000097006
ENSMUSG00000028545
ENSMUSG00000026418
ENSMUSG00000026193
ENSMUSG00000035357
ENSMUSG00000072774
ENSMUSG00000030271
ENSMUSG00000047181
ENSMUSG00000021996
ENSMUSG00000073177
ENSMUSG00000079584
ENSMUSG00000039202
ENSMUSG00000037860
ENSMUSG00000102278
ENSMUSG00000052560
ENSMUSG00000050150
